resource_id,skill_id
LR001,SK001
LR002,SK001
LR003,SK005
LR004,SK005
LR005,SK009
LR006,SK010
LR007,SK015
LR008,SK015
LR008,SK010
LR009,SK013
LR010,SK013
LR010,SK011
LR011,SK011
LR012,SK016
LR013,SK017
LR014,SK018
LR015,SK012
LR016,SK014
LR017,SK019
LR018,SK020
LR019,SK021
LR020,SK022
LR020,SK026
LR021,SK024
LR022,SK025
LR023,SK026
LR024,SK027
LR025,SK028
LR026,SK029
LR027,SK023
LR028,SK030
LR029,SK031
LR030,SK032
LR031,SK033
LR032,SK034
LR033,SK035
LR033,SK036
LR034,SK037
LR035,SK038
LR036,SK039
LR037,SK040
LR038,SK007
LR038,SK003
LR039,SK008
LR039,SK010
LR040,SK003
