role_id,role_name,skill_id,required_proficiency,importance_weight
R001,Software Developer,SK001,4,5
R001,Software Developer,SK002,3,4
R001,Software Developer,SK003,3,3
R001,Software Developer,SK005,3,4
R001,Software Developer,SK011,3,3
R001,Software Developer,SK039,2,3
R002,Backend Developer,SK001,4,5
R002,Backend Developer,SK005,4,5
R002,Backend Developer,SK009,3,4
R002,Backend Developer,SK010,4,5
R002,Backend Developer,SK011,3,3
R002,Backend Developer,SK015,3,4
R002,Backend Developer,SK039,3,3
R003,Frontend Developer,SK003,4,5
R003,Frontend Developer,SK006,4,4
R003,Frontend Developer,SK007,4,5
R003,Frontend Developer,SK011,3,3
R003,Frontend Developer,SK033,3,3
R003,Frontend Developer,SK032,3,3
R004,Data Analyst,SK005,4,5
R004,Data Analyst,SK019,4,5
R004,Data Analyst,SK020,3,4
R004,Data Analyst,SK022,4,5
R004,Data Analyst,SK026,3,4
R004,Data Analyst,SK027,4,4
R004,Data Analyst,SK010,2,2
R005,Data Scientist,SK001,4,5
R005,Data Scientist,SK005,4,5
R005,Data Scientist,SK019,4,5
R005,Data Scientist,SK020,4,4
R005,Data Scientist,SK021,3,3
R005,Data Scientist,SK024,4,5
R005,Data Scientist,SK026,3,3
R006,Cloud Engineer,SK013,4,5
R006,Cloud Engineer,SK015,4,5
R006,Cloud Engineer,SK016,3,5
R006,Cloud Engineer,SK017,3,4
R006,Cloud Engineer,SK018,3,3
R006,Cloud Engineer,SK012,3,4
R006,Cloud Engineer,SK011,3,3
R007,DevOps Engineer,SK015,4,5
R007,DevOps Engineer,SK016,4,5
R007,DevOps Engineer,SK017,4,5
R007,DevOps Engineer,SK013,4,5
R007,DevOps Engineer,SK018,3,4
R007,DevOps Engineer,SK012,4,4
R007,DevOps Engineer,SK011,3,3
R008,Cybersecurity Analyst,SK028,4,5
R008,Cybersecurity Analyst,SK029,3,4
R008,Cybersecurity Analyst,SK030,4,5
R008,Cybersecurity Analyst,SK031,3,3
R008,Cybersecurity Analyst,SK012,3,3
R008,Cybersecurity Analyst,SK011,2,2
R009,QA Engineer,SK034,4,5
R009,QA Engineer,SK035,4,5
R009,QA Engineer,SK036,3,4
R009,QA Engineer,SK011,3,3
R009,QA Engineer,SK037,3,3
R009,QA Engineer,SK038,2,2
R010,UI/UX Designer,SK032,4,5
R010,UI/UX Designer,SK033,4,5
R010,UI/UX Designer,SK006,2,2
R010,UI/UX Designer,SK037,2,3
R010,UI/UX Designer,SK038,2,2
R010,UI/UX Designer,SK040,3,3
