skill_id,skill_name,category
SK001,Python,Programming
SK002,Java,Programming
SK003,JavaScript,Programming
SK004,C++,Programming
SK005,SQL,Data
SK006,HTML/CSS,Web
SK007,React,Web
SK008,Node.js,Web
SK009,Django,Web
SK010,REST APIs,Web
SK011,Git,Tools
SK012,Linux,Systems
SK013,AWS,Cloud & DevOps
SK014,Azure,Cloud & DevOps
SK015,Docker,Cloud & DevOps
SK016,Kubernetes,Cloud & DevOps
SK017,CI/CD,Cloud & DevOps
SK018,Terraform,Cloud & DevOps
SK019,Statistics,Data
SK020,Pandas,Data
SK021,NumPy,Data
SK022,Power BI,Data
SK023,Tableau,Data
SK024,Machine Learning,AI & ML
SK025,Deep Learning,AI & ML
SK026,Data Visualization,Data
SK027,Excel,Tools
SK028,Network Security,Cybersecurity
SK029,SIEM,Cybersecurity
SK030,Vulnerability Assessment,Cybersecurity
SK031,Cryptography,Cybersecurity
SK032,Figma,Design
SK033,UI/UX Design,Design
SK034,Manual Testing,QA
SK035,Automation Testing,QA
SK036,Selenium,QA
SK037,Agile,Management
SK038,Jira,Management
SK039,System Design,Architecture
SK040,Communication,Soft Skills
